unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
890,cydno,cydno pachinus Heliconius,,,,desconocido,Coiba Isla PAN VE,,,m,,,,,KB 1979,,NEIL ROSSER,,7.516666667,-81.71666667,Brown
902,cydno,cydno pachinus Heliconius,,,,desconocido,Corcovado N.P. CRI,,,m,,,,,KB 1979,,NEIL ROSSER,,8.55,-83.58333333,costa-rica-guide.com
1631,cydno,cydno pachinus Heliconius,,,,descononcido,Rincon - Osa - Camino al Mar,,,m,,,,,KB 1979,,NEIL ROSSER,,8.707263889,-83.48579167,Google Earth
4220,cydno,cydno pachinus Heliconius,,,,macho,San Mateo CRI AL,,,m,,2,,,BMNH,,NEIL ROSSER,,9.95,-84.53333333,Brown
4221,cydno,cydno pachinus Heliconius,,,,macho,Pozo Azul de Pirris CRI SJ,,,m,,,1927,,BMNH,,NEIL ROSSER,,9.583333333,-84.33333333,Brown
4222,cydno,cydno pachinus Heliconius,,,,macho,Pozo Azul de Pirris CRI SJ,,,m,,3,1929,,BMNH,,NEIL ROSSER,,9.583333333,-84.33333333,Brown
4225,cydno,cydno pachinus Heliconius,,,,macho,Volcan (de Chiriqui) PAN CQ,,,m,,,1898,"Mathan, M. de",BMNH,May - June,NEIL ROSSER,,8.8,-82.54166667,Geonames
4226,cydno,cydno pachinus Heliconius,,,,hembra,San Mateo CRI AL,,,m,,2,,,BMNH,,NEIL ROSSER,,9.95,-84.53333333,Brown
4227,cydno,cydno pachinus Heliconius,,,,hembra,Pozo Azul de Pirris CRI SJ,,,m,,,1927,,BMNH,,NEIL ROSSER,,9.583333333,-84.33333333,Brown
4228,cydno,cydno pachinus Heliconius,,,,hembra,Pozo Azul de Pirris CRI SJ,,,m,,,,,BMNH,,NEIL ROSSER,,9.583333333,-84.33333333,Brown
4229,cydno,cydno pachinus Heliconius,,,,macho,Boquete PAN CQ,3500,3500,ft,,,,Watson,BMNH,,NEIL ROSSER,,8.783333333,-82.43333333,Brown
4230,cydno,cydno pachinus Heliconius,,,,macho,Bugaba PAN CQ,,,m,,,,Champion,BMNH,,NEIL ROSSER,,8.483333333,-82.61666667,Brown
4231,cydno,cydno pachinus Heliconius,,,,macho,Lino PAN CQ,800,800,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,8.8,-82.43333333,Brown
4235,cydno,cydno pachinus Heliconius,,,,macho,Coiba Isla PAN VE,,,m,3,9,1924,"Collenette, C.L.",BMNH,,NEIL ROSSER,,7.516666667,-81.71666667,Brown
4236,cydno,cydno pachinus Heliconius,,,,hembra,Bugaba PAN CQ,800,800,ft,,,,Watson,BMNH,,NEIL ROSSER,,8.483333333,-82.61666667,Brown
4237,cydno,cydno pachinus Heliconius,,,,hembra,Bugaba PAN CQ,,,m,,,,Champion,BMNH,,NEIL ROSSER,,8.483333333,-82.61666667,Brown
4238,cydno,cydno pachinus Heliconius,,,,hembra,Lino PAN CQ,800,800,m,,,,Fassl,BMNH,,NEIL ROSSER,,8.8,-82.43333333,Brown
4240,cydno,cydno pachinus Heliconius,,,,hembra,Volcan (de Chiriqui) PAN CQ,,,m,,,1898,"Mathan, M. de",BMNH,May - June,NEIL ROSSER,,8.8,-82.54166667,Geonames
4241,cydno,cydno pachinus Heliconius,ST,"pachinus Heliconius cydno (Heliconius, O. Salvin 1871)",,macho,Volcan (de Chiriqui) PAN CQ,,,m,,,,Arc�,BMNH,,NEIL ROSSER,,8.8,-82.54166667,Geonames
4242,cydno,cydno pachinus Heliconius,ST,"pachinus Heliconius cydno (Heliconius, O. Salvin 1871)",,macho,Volcan (de Chiriqui) PAN CQ,,,m,,,,Arc�,BMNH,,NEIL ROSSER,,8.8,-82.54166667,Geonames
4243,cydno,cydno pachinus Heliconius,ST,"pachinus Heliconius cydno (Heliconius, O. Salvin 1871)",,macho,Volcan (de Chiriqui) PAN CQ,,,m,,,,Arc�,BMNH,,NEIL ROSSER,,8.8,-82.54166667,Geonames
4244,cydno,cydno pachinus Heliconius,,,,macho,Sevilla Isla PAN CQ,,,m,,1,1902,"Batty, J.H.",BMNH,20-23,NEIL ROSSER,,8.249916667,-82.37594722,Geonames + Google Earth
4245,cydno,cydno pachinus Heliconius,,,,macho,Brava Island PAN CQ,,,m,,1,1902,"Batty, J.H.",BMNH,26-27,NEIL ROSSER,,8.216666667,-82.28333333,Brown
4246,cydno,cydno pachinus Heliconius,,,,macho,Parida Island PAN CQ,,,m,,1,1902,"Batty, J.H.",BMNH,17-19,NEIL ROSSER,,8.116666667,-82.33333333,Brown
4247,cydno,cydno pachinus Heliconius,,,,macho,Parida Island PAN CQ,,,m,,1,1902,"Batty, J.H.",BMNH,17-19,NEIL ROSSER,,8.116666667,-82.33333333,Brown
4249,cydno,cydno pachinus Heliconius,,,,hembra,Chiriqui PAN,,,m,,,,Arc�,BMNH,,NEIL ROSSER,,8.383333333,-82.33333333,Brown
4250,cydno,cydno pachinus Heliconius,,,,hembra,Sevilla Isla PAN CQ,,,m,,1,1902,"Batty, J.H.",BMNH,20-23,NEIL ROSSER,,8.249916667,-82.37594722,Geonames + Google Earth
7130,cydno,cydno pachinus Heliconius,,,,macho,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,1,10,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7131,cydno,cydno pachinus Heliconius,,,,macho,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,30,9,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7132,cydno,cydno pachinus Heliconius,,,,macho,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,1,10,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7133,cydno,cydno pachinus Heliconius,,,,macho,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,29,9,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7134,cydno,cydno pachinus Heliconius,,,,hembra,San Vito CRI PU,1150,1150,m,20,8,1977,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,8.833333333,-82.96666667,www.calle.com/world
7135,cydno,cydno pachinus Heliconius,,,,hembra,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,10,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7136,cydno,cydno pachinus Heliconius,,,,hembra,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,30,9,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7137,cydno,cydno pachinus Heliconius,,,,hembra,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,1,10,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7138,cydno,cydno pachinus Heliconius,,,,hembra,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,10,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7139,cydno,cydno pachinus Heliconius,,,,macho,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,10,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7140,cydno,cydno pachinus Heliconius,,,,macho,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,30,9,1986,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7141,cydno,cydno pachinus Heliconius,,,,hembra,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,10,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7142,cydno,cydno pachinus Heliconius,,,,hembra,Las Cruces (Finca) 5km S of San Vito CRI PU,,,m,10,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,8.7,-83,Label
7143,cydno,cydno pachinus Heliconius,,,,hembra,"Buenos Aires 3-6km north, CRI PU",,,m,13,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,9.207488889,-83.32150556,Google Earth
7144,cydno,cydno pachinus Heliconius,,,,macho,"Charcarita 9.2km S, CRI PU",,,m,12,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,9.927369444,-84.70243056,Google Earth
7145,cydno,cydno pachinus Heliconius,,,,macho,"Charcarita 9.2km S, CRI PU",,,m,12,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,9.927369444,-84.70243056,Google Earth
7146,cydno,cydno pachinus Heliconius,,,,macho,"Charcarita 9.2km S, CRI PU",,,m,12,9,1987,"Austin, G.",MGCL/FLMNH,,NEIL ROSSER,,9.927369444,-84.70243056,Google Earth
7147,cydno,cydno pachinus Heliconius,,,,macho,"Rincon, 2.5 miles SW, CRI PU",,,m,1,3,1967,OTS course,MGCL/FLMNH,,NEIL ROSSER,,8.678508333,-83.47796667,Google Earth
7148,cydno,cydno pachinus Heliconius,,,,macho,San Vito CRI PU,,,m,4,2,1969,,MGCL/FLMNH,,NEIL ROSSER,,8.833333333,-82.96666667,www.calle.com/world
